br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,90,0.786155,40.0,10.061404,2.1267,11.3169,9.7608,288.2368,103.3158,99.2632,6.2632,13.1842,10.7368,152,40,0.129253,2025-12-25T16:23:44.049767Z,20251225_162344.049767_seed0_six_way
BR0,six_way,91,0.654311,32.0,14.086022,0.3341,14.4123,22.2581,295.4839,99.7097,85.5161,0.9839,16.7903,24.4839,62,32,0.023971,2025-12-25T16:23:44.100731Z,20251225_162344.100731_seed0_six_way
BR0,six_way,92,0.788448,12.0,10.416667,2.2071,5.2575,16.9318,288.0,110.375,91.375,6.5,6.125,18.625,48,12,0.012758,2025-12-25T16:23:44.125288Z,20251225_162344.125288_seed0_six_way
BR0,six_way,93,0.745298,38.0,10.283186,0.293,10.9993,15.6114,293.6372,103.6858,92.8274,0.8628,12.8142,17.1726,113,38,0.069065,2025-12-25T16:23:44.206538Z,20251225_162344.206538_seed0_six_way
BR0,six_way,94,0.788279,16.0,15.166667,10.8659,6.0086,5.9091,262.5,109.5,103.5,32.0,7.0,6.5,63,16,0.020469,2025-12-25T16:23:44.252658Z,20251225_162344.252658_seed0_six_way
BR0,six_way,95,0.941752,11.0,4.220588,2.7964,3.3136,0.5147,286.2647,112.6397,109.4338,8.2353,3.8603,0.5662,204,11,0.149757,2025-12-25T16:23:44.417680Z,20251225_162344.417680_seed0_six_way
BR0,six_way,96,0.833319,70.0,8.0,2.2071,9.8712,5.4545,288.0,105.0,104.0,6.5,11.5,6.0,360,70,0.924872,2025-12-25T16:23:45.354885Z,20251225_162345.354885_seed0_six_way
BR0,six_way,97,0.776467,46.0,9.818182,1.349,9.2002,13.4215,290.5273,105.7818,95.2364,3.9727,10.7182,14.7636,165,46,0.17121,2025-12-25T16:23:45.557904Z,20251225_162345.557904_seed0_six_way
BR0,six_way,98,0.807144,25.0,8.257576,0.9878,5.8915,13.6364,291.5909,109.6364,95.0,2.9091,6.8636,15.0,110,25,0.058678,2025-12-25T16:23:45.628810Z,20251225_162345.628810_seed0_six_way
BR0,six_way,99,0.940198,16.0,5.166667,4.7538,1.2876,0.0,280.5,115.0,110.0,14.0,1.5,0.0,275,16,0.24398,2025-12-25T16:23:45.885502Z,20251225_162345.885502_seed0_six_way
